Name,Team(s),G,AB,H,2B,3B,HR,BB,SB,AVG,OBP,SLG,BFW,G2,PO,A,E,DP,AVG3,Games,Played
Carlos Rodon,NY,A,32,32,0,0,175,157,81,57,195,3.96,0.4,32,4,10,0,0,1,P32,
Patrick Corbin,WAS,N,32,32,0,0,174.2,208,114,54,139,5.62,-2.2,32,3,22,0,1,1,P32,
Nestor Cortes,NY,A,31,30,0,0,174.1,162,74,39,162,3.77,0.8,31,5,10,0,1,1,P31,
Max Fried,ATL,N,29,29,2,0,174.1,146,71,57,166,3.25,1.8,29,10,17,0,0,1,P29,
Tanner Bibee,CLE,A,31,31,0,0,173.2,150,70,44,187,3.47,1.3,31,12,21,2,1,0.943,P31,
Michael King,SD,N,31,30,0,0,173.2,144,71,63,201,2.95,2.2,31,10,21,1,2,0.969,P31,
Freddy Peralta,MIL,N,32,32,0,0,173.2,143,74,68,200,3.68,1.2,32,16,15,1,3,0.969,P32,
Shota Imanaga,CHI,N,29,29,0,0,173.1,149,66,28,174,2.91,1.7,29,4,14,0,1,1,P29,
Griffin Canning,ANA,A,32,31,0,0,171.2,174,105,66,130,5.19,-1.9,32,12,20,0,0,1,P32,
Miles Mikolas,STL,N,32,32,0,0,171.2,194,106,25,122,5.35,-1.9,32,13,11,2,1,0.923,P32,
Chris Bassitt,TOR,A,31,31,0,0,171,180,91,70,168,4.16,-0.6,31,12,16,1,3,0.966,P31,
Nathan Eovaldi,TEX,A,29,29,0,0,170.2,147,74,42,166,3.8,0.5,29,29,8,1,0,0.974,P29,
Jose Quintana,NY,N,31,31,0,0,170.1,150,73,63,135,3.75,0.9,31,13,22,0,1,1,P31,
Hunter Brown,HOU,A,31,30,0,0,170,156,71,60,179,3.49,1.1,31,19,12,1,0,0.969,P31,
Kyle Gibson,STL,N,30,30,0,0,169.2,161,91,68,151,4.24,-0.1,30,16,12,0,1,1,P30,
Colin Rea,MIL,N,32,27,0,1,167.2,169,83,43,135,4.29,0,32,20,15,5,0,0.875,P32,
Ronel Blanco,HOU,A,30,29,1,0,167.1,114,56,68,166,2.8,2.4,30,19,10,3,1,0.906,P30,
Michael Wacha,KC,A,29,29,0,0,166.2,154,65,45,145,3.35,2,29,9,20,0,3,1,P29,
MacKenzie Gore,WAS,N,32,32,0,0,166.1,171,93,65,181,3.9,-0.1,32,2,13,3,1,0.833,P32,
Sonny Gray,STL,N,28,28,0,0,166.1,142,79,39,203,3.84,0.9,28,14,17,0,1,1,P28,
Charlie Morton,ATL,N,30,30,0,0,165.1,154,85,65,167,4.19,-0.1,30,9,21,3,0,0.909,P30,
Jameson Taillon,CHI,N,28,28,0,0,165.1,154,67,33,125,3.27,1.3,28,14,11,1,0,0.962,P28,
Austin Gomber,COL,N,30,30,0,0,165,178,89,38,116,4.75,0,30,6,15,1,0,0.955,P30,
Brayan Bello,BOS,A,30,30,0,0,162.1,157,84,64,153,4.49,-0.1,30,20,16,2,1,0.947,P30,
Ryan Feltner,COL,N,30,30,0,0,162.1,165,94,52,138,4.49,-0.1,30,12,8,0,1,1,P30,
Chris Flexen,CHI,A,33,30,0,0,160,180,95,63,123,4.95,-1.7,33,8,20,0,3,1,P33,
Andrew Heaney,TEX,A,32,31,0,0,160,159,84,41,159,4.28,-0.8,32,4,8,0,0,1,P32,
Zack Littell,TB,A,29,29,0,0,156.1,164,68,31,141,3.63,0.7,29,11,9,1,2,0.952,P29,
Marcus Stroman,NY,A,30,29,0,1,154.2,167,81,60,113,4.31,-0.4,30,13,18,1,1,0.969,P30,
Luis Gil,NY,A,29,29,0,0,151.2,104,60,77,171,3.5,1.5,29,14,5,3,1,0.864,P29,
Mitch Spence,OAK,A,35,24,0,0,151.1,165,79,44,126,4.58,-1,35,11,12,1,1,0.958,P35,
Ben Lively,CLE,A,29,29,0,0,151,139,67,49,118,3.81,0.6,29,4,12,0,1,1,P29,
Mitchell Parker,WAS,N,29,29,0,0,151,154,82,43,133,4.29,-0.4,29,2,6,5,0,0.615,P29,
Ryne Nelson,ARI,N,28,25,0,1,150.2,155,73,34,126,4.24,-0.1,28,8,8,1,0,0.941,P28,
Ranger Suarez,PHI,N,27,27,1,0,150.2,140,63,41,145,3.46,1.6,27,7,27,0,1,1,P27,
Hunter Greene,CIN,N,26,26,0,0,150.1,96,47,57,169,2.75,2.2,26,5,9,0,0,1,P26,
Cal Quantrill,COL,N,29,29,0,0,148.1,156,83,69,110,4.98,-0.3,29,8,13,0,1,1,P29,
Zac Gallen,ARI,N,28,28,0,0,148,133,62,54,156,3.65,1.1,28,12,7,0,0,1,P28,
Javier Assad,CHI,N,29,29,0,0,147,143,64,63,124,3.73,0.4,29,8,14,1,2,0.957,P29,
Matt Waldron,SD,N,27,26,0,0,146.2,145,84,40,133,4.91,-1.3,27,5,14,0,2,1,P27,
Garrett Crochet,CHI,A,32,32,0,0,146,123,61,33,209,3.58,0.9,32,4,8,1,1,0.923,P32,
Nick Pivetta,BOS,A,27,26,0,0,145.2,128,70,36,172,4.14,0.4,27,8,7,1,0,0.938,P27,
S. Arrighetti,HOU,A,29,28,0,0,145,139,80,65,171,4.53,-1.2,29,5,8,0,0,1,P29,
Bailey Falter,PIT,N,28,28,0,0,142.1,138,72,45,97,4.43,0,28,6,11,0,0,1,P28,
Nick Martinez,CIN,N,42,16,1,0,142.1,128,56,18,116,3.1,1.8,42,10,15,3,1,0.893,P42,
Gavin Stone,LA,N,25,25,1,0,140.1,133,55,37,116,3.53,1.1,25,16,13,0,2,1,P25,
Andrew Abbott,CIN,N,25,25,0,0,138,127,60,52,114,3.72,1.1,25,6,8,0,0,1,P25,
Taj Bradley,TB,A,25,25,0,0,138,122,68,47,154,4.11,-0.2,25,8,8,0,0,1,P25,
Tobias Myers,MIL,N,27,25,0,0,138,126,52,36,127,3,1.6,27,10,6,3,0,0.842,P27,
Reynaldo Lopez,ATL,N,26,25,0,0,135.2,108,32,42,148,1.99,2.9,26,8,5,0,1,1,P26,
Luis Ortiz,PIT,N,37,15,0,1,135.2,109,56,42,107,3.32,1.2,37,7,10,4,0,0.81,P37,
Joe Ryan,MIN,A,23,23,0,0,135,110,59,23,147,3.6,0.6,23,10,9,2,0,0.905,P23,
Justin Steele,CHI,N,24,24,1,0,134.2,111,54,37,135,3.07,0.7,24,3,7,0,0,1,P24,
Tyler Glasnow,LA,N,22,22,0,0,134,92,53,35,168,3.49,1,22,15,8,0,0,1,P22,
Albert Suarez,BAL,A,32,24,0,0,133.2,130,56,43,108,3.7,0.6,32,9,15,1,2,0.96,P32,
Woods Richardson,MIN,A,28,28,0,0,133.2,125,63,48,117,4.17,-0.1,28,11,7,3,2,0.857,P28,
Paul Skenes,PIT,N,23,23,0,0,133,94,31,32,170,1.96,3.5,23,7,17,2,1,0.923,P23,
Kyle Hendricks,CHI,N,29,24,0,0,130.2,147,88,43,87,5.92,-2.9,29,7,11,1,1,0.947,P29,
Ryan Pepiot,TB,A,26,26,0,0,130,102,58,48,142,3.6,0.6,26,11,4,0,3,1,P26,
Dean Kremer,BAL,A,24,24,0,0,129.2,110,72,51,123,4.1,-0.7,24,11,19,2,0,0.938,P24,
Alec Marsh,KC,A,26,25,0,0,129,123,70,39,123,4.53,-0.5,26,9,11,4,0,0.833,P26,
Joey Estes,OAK,A,25,24,1,0,127.2,130,73,27,92,5.01,-1.6,25,5,5,0,2,1,P25,
Jonathan Cannon,CHI,A,23,21,0,1,124.1,125,65,40,91,4.49,-0.6,23,17,13,0,2,1,P23,
Kyle Harrison,SF,N,24,24,0,0,124.1,125,65,42,118,4.56,-0.7,24,2,12,0,1,1,P24,
S. Schwellenbach,ATL,N,21,21,0,0,123.2,106,49,23,127,3.35,1.4,21,9,24,0,2,1,P21,
Jared Jones,PIT,N,22,22,0,0,121.2,106,60,39,132,4.14,0.3,22,9,8,1,0,0.944,P22,
Andre Pallante,STL,N,29,20,0,0,121.1,110,55,48,94,3.78,0.9,29,17,16,0,2,1,P29,
Bryan Woo,SEA,A,22,22,0,0,121.1,96,41,13,101,2.89,1.2,22,14,7,0,0,1,P22,
David Peterson,NY,N,21,21,0,0,121,110,44,46,101,2.9,1.5,21,4,15,5,1,0.792,P21,
Lance Lynn,STL,N,23,23,0,0,117.1,113,64,44,109,3.84,0,23,5,3,2,0,0.8,P23,
J. Montgomery,ARI,N,25,21,0,1,117,149,83,44,83,6.23,-2.7,25,2,17,1,0,0.95,P25,
G. Rodriguez,BAL,A,20,20,0,0,116.2,109,52,36,130,3.86,0.3,20,10,7,0,1,1,P20,
Nick Lodolo,CIN,N,21,21,0,0,115.1,101,62,37,122,4.76,-0.6,21,1,9,1,0,0.909,P21,
Kyle Freeland,COL,N,21,21,0,0,113.1,134,73,26,85,5.24,-0.8,21,2,9,1,0,0.917,P21,
Jose Soriano,ANA,A,22,20,0,0,113,91,50,45,97,3.42,0.8,22,15,16,2,3,0.939,P22,
Kenta Maeda,DET,A,29,17,0,0,112.1,124,80,31,96,6.09,-1.8,28,13,10,2,3,0.92,P28,
Reese Olson,DET,A,22,22,0,0,112.1,100,51,33,101,3.53,0.5,22,3,3,1,0,0.857,P22,
Jordan Hicks,SF,N,29,20,0,1,109.2,112,54,47,96,4.1,-0.1,29,18,10,1,3,0.966,P29,
Jose Urena,TEX,A,33,9,0,1,109,105,51,39,70,3.8,0.1,33,11,9,1,0,0.952,P33,
Tyler Alexander,TB,A,23,9,0,0,107.2,110,61,24,90,5.1,-1,23,6,8,1,0,0.933,P23,
Bryse Wilson,MIL,N,34,9,0,0,104.2,102,49,31,82,4.04,0.1,34,1,6,0,0,1,P34,
Blake Snell,SF,N,20,20,1,0,104,65,38,44,145,3.12,0.8,20,5,8,1,0,0.929,P20,
Carlos Carrasco,CLE,A,21,21,0,0,103.2,112,68,33,89,5.64,-1.9,21,9,9,1,0,0.947,P21,
Bowden Francis,TOR,A,27,13,0,0,103.2,74,41,22,92,3.3,1,27,4,7,0,0,1,P27,
Jon Gray,TEX,A,23,19,0,0,102.2,107,54,28,86,4.47,-0.5,23,8,10,0,0,1,P23,
Casey Mize,DET,A,22,20,0,0,102.1,121,57,29,78,4.49,-0.3,22,6,14,0,4,1,P22,
Joe Musgrove,SD,N,19,19,0,0,99.2,94,44,23,101,3.88,0.4,19,11,12,1,0,0.958,P19,
Cooper Criswell,BOS,A,26,18,0,0,99.1,103,52,31,73,4.08,0.1,26,8,4,0,1,1,P26,
Keider Montero,DET,A,19,16,1,0,98.1,100,54,31,77,4.76,-0.6,19,4,9,0,0,1,P19,
Randy Vasquez,SD,N,20,20,0,0,98,119,56,29,62,4.87,-0.7,20,4,15,0,2,1,P20,
Logan Allen,CLE,A,20,20,0,0,97.1,113,63,41,79,5.73,-1.9,20,4,10,0,0,1,P20,
Edward Cabrera,MIA,N,20,20,0,0,96.1,82,60,50,107,4.95,-0.5,20,4,6,4,0,0.714,P20,
Gerrit Cole,NY,A,17,17,0,0,95,78,38,29,99,3.41,0.9,17,4,6,0,0,1,P17,
Dane Dunning,TEX,A,26,15,0,0,95,97,60,40,91,5.31,-1.6,26,10,7,1,0,0.944,P26,
Tyler Holton,DET,A,66,9,0,8,94.1,57,25,17,77,2.19,2.1,66,4,12,0,0,1,P66,
Carson Spiers,CIN,N,22,10,0,0,90.2,112,59,27,80,5.46,-1.4,22,9,4,0,1,1,P22,
Justin Verlander,HOU,A,17,17,0,0,90.1,98,56,27,74,5.48,-1.5,17,4,5,0,0,1,P17,
Derek Law,WAS,N,75,0,0,1,90,82,31,24,76,2.6,1.6,75,4,6,0,2,1,P75,
Y. Yamamoto,LA,N,18,18,0,0,90,78,32,22,105,3,1,18,5,9,0,0,1,P18,
Dakota Hudson,COL,N,18,18,0,0,89,99,66,50,49,6.17,-1.8,18,3,11,0,2,1,P18,
DJ Herz,WAS,N,19,19,0,0,88.2,76,45,36,106,4.16,0,19,0,5,0,0,1,P19,
Chris Paddack,MIN,A,17,17,0,0,88.1,102,50,21,79,4.99,-0.6,17,5,8,0,0,1,P17,
Reid Detmers,ANA,A,17,17,0,0,87.1,98,67,38,109,6.7,-3,17,3,5,0,0,1,P17,
Carson Fulmer,ANA,A,37,8,0,0,86.2,81,45,40,81,4.15,-0.1,37,2,5,2,0,0.778,P37,
Yariel Rodriguez,TOR,A,21,21,0,0,86.2,74,46,40,85,4.47,-0.4,21,8,7,0,0,1,P21,
Ryan Weathers,MIA,N,16,16,0,0,86.2,78,39,24,80,3.63,0,16,1,10,0,0,1,P16,
M. Liberatore,STL,N,60,6,0,0,86,81,44,28,76,4.4,0.1,60,4,17,1,2,0.955,P60,
Clarke Schmidt,NY,A,16,16,0,0,85.1,71,31,30,93,2.85,1.2,16,7,7,1,0,0.933,P16,
Ross Stripling,OAK,A,22,14,0,0,85.1,109,65,22,49,6.01,-2.8,22,5,8,1,0,0.929,P22,
Luke Weaver,NY,A,62,0,0,4,84,52,28,26,103,2.89,1.3,62,2,5,2,0,0.778,P62,
Taijuan Walker,PHI,N,19,15,0,0,83.2,107,68,37,58,7.1,-2.5,19,9,8,1,2,0.944,P19,
Roddery Munoz,MIA,N,18,17,0,0,82.2,89,66,42,70,6.53,-1.6,18,2,6,4,0,0.667,P18,
Yu Darvish,SD,N,16,16,0,0,81.2,65,32,22,78,3.31,0.8,16,4,9,0,0,1,P16,
Sean Hjelle,SF,N,58,0,0,0,80.2,84,37,14,75,3.9,0.2,58,14,13,0,2,1,P58,
Ryan Walker,SF,N,76,1,0,10,80,50,19,18,99,1.91,3.4,76,5,6,0,0,1,P76,
Cade Povich,BAL,A,16,16,0,0,79.2,80,49,34,69,5.2,-1.4,16,2,9,0,2,1,P16,
Patrick Sandoval,ANA,A,16,16,0,0,79.2,85,49,35,81,5.08,-1,16,1,9,1,0,0.909,P16,
Mike Soroka,CHI,A,25,9,0,0,79.2,66,49,44,84,4.74,-1,25,3,7,2,0,0.833,P25,
Shane Baz,TB,A,14,14,0,0,79.1,57,28,27,69,3.06,0.7,14,4,3,0,1,1,P14,
Keegan Akin,BAL,A,66,0,0,1,78.2,55,31,19,97,3.32,0.3,66,0,7,0,0,1,P66,
Bryan Abreu,HOU,A,78,0,0,1,78.1,59,27,32,103,3.1,0.6,78,5,3,0,0,1,P78,
Tylor Megill,NY,N,16,15,0,0,78,70,39,32,91,4.04,0,16,7,11,0,1,1,P16,
Graham Ashcraft,CIN,N,15,15,0,0,77.1,89,50,27,57,5.24,-1,15,10,8,3,0,0.857,P15,
Slade Cecconi,ARI,N,20,13,0,0,77,92,57,17,64,6.66,-1.9,20,3,6,0,0,1,P20,
Cody Bradford,TEX,A,14,13,0,0,76.1,64,32,13,70,3.54,0.4,14,4,8,1,1,0.923,P14,
Gavin Williams,CLE,A,16,16,0,0,76,72,42,32,79,4.86,-0.9,16,3,9,1,0,0.923,P16,
Josh Winckowski,BOS,A,40,6,0,2,76,81,44,26,60,4.14,-0.1,40,9,6,0,1,1,P40,
Triston McKenzie,CLE,A,16,16,0,0,75.2,69,46,49,74,5.11,-0.9,16,9,2,1,0,0.917,P16,
Walker Buehler,LA,N,16,16,0,0,75.1,89,52,28,64,5.38,-1,16,9,8,1,2,0.944,P16,
Cade Smith,CLE,A,74,0,0,1,75.1,51,16,17,103,1.91,1.6,74,4,3,0,0,1,P74,
Hunter Gaddis,CLE,A,78,0,0,0,74.2,43,16,14,66,1.57,2.2,78,5,6,2,0,0.846,P78,
Emmanuel Clase,CLE,A,74,0,0,47,74.1,39,10,10,66,0.61,5.1,74,4,5,2,1,0.818,P74,
Jose Butto,NY,N,30,7,0,3,74,41,21,38,79,2.55,1.8,30,5,5,0,1,1,P30,
Joe Ross,MIL,N,25,10,0,0,74,72,35,29,66,3.77,0.3,25,5,3,0,0,1,P25,
Merrill Kelly,ARI,N,13,13,0,0,73.2,67,35,19,63,4.03,0.1,13,9,5,2,0,0.875,P13,
Victor Vodnik,COL,N,64,0,0,9,73.2,72,37,37,65,4.28,0.4,64,9,5,0,0,1,P64,
Jared Shuster,CHI,A,39,4,0,0,73.1,74,38,33,56,4.3,-0.2,39,6,4,1,0,0.909,P39,
H. Strickland,ANA,A,72,0,0,1,73.1,56,31,24,57,3.31,0.3,72,2,3,0,0,1,P72,
Justin Martinez,ARI,N,64,0,0,8,72.2,59,26,36,91,2.48,1.8,64,1,7,1,0,0.889,P64,
Hogan Harris,OAK,A,21,9,0,0,72.1,65,29,33,61,2.86,0.7,21,1,5,1,0,0.857,P21,
Trent Thornton,SEA,A,71,0,0,1,72.1,63,32,19,77,3.61,0.1,71,3,6,1,0,0.9,P71,
Hayden Birdsong,SF,N,16,16,0,0,72,57,39,43,88,4.75,-0.8,16,7,4,1,0,0.917,P16,
David Robertson,TEX,A,68,0,0,2,72,53,25,27,99,3,0.8,68,3,8,0,0,1,P68,
Ty Blach,COL,N,20,12,0,0,71.1,103,55,18,36,6.94,-1.8,20,5,14,0,2,1,P20,
Cole Sands,MIN,A,62,0,0,4,71.1,59,30,12,85,3.28,0.7,62,5,4,1,0,0.9,P62,
Buck Farmer,CIN,N,61,1,0,1,71,56,25,29,70,3.04,0.6,61,3,3,0,0,1,P61,
Josh Hader,HOU,A,71,0,0,34,71,43,33,25,105,3.8,0.3,71,3,6,0,0,1,P71,
Griffin Jax,MIN,A,72,0,0,10,71,47,19,15,95,2.03,2.4,72,4,6,0,0,1,P72,
Kevin Kelly,TB,A,68,0,0,1,70.2,59,25,9,63,2.67,0.9,68,4,11,0,0,1,P68,
Andrew Kittredge,STL,N,74,0,0,1,70.2,60,26,20,67,2.8,1.3,74,3,7,1,1,0.909,P74,
Declan Cronin,MIA,N,56,0,0,0,70.1,75,41,25,72,4.35,0,56,4,3,1,0,0.875,P56,
Tyler Rogers,SF,N,77,0,0,1,70.1,67,23,6,51,2.82,0.9,77,5,9,1,1,0.933,P77,
Will Vest,DET,A,69,0,0,2,70.1,61,23,18,63,2.82,1,69,4,7,0,0,1,P69,
Kevin Ginkel,ARI,N,72,0,0,5,70,69,31,15,77,3.21,0.8,72,4,4,0,0,1,P72,
Adrian Houser,NY,N,23,7,0,1,69.1,74,48,32,45,5.84,-1,23,4,11,0,1,1,P23,
Raisel Iglesias,ATL,N,66,0,0,34,69.1,38,19,13,68,1.95,3.1,66,4,11,0,1,1,P66,
Landon Knack,LA,N,15,12,0,1,69,58,28,18,69,3.65,0.4,15,7,1,0,0,1,P15,
Valente Bellozo,MIA,N,13,13,0,0,68.2,69,31,21,44,3.67,0.5,13,4,5,0,0,1,P13,
Joe Jimenez,ATL,N,69,0,0,3,68.2,45,22,23,82,2.62,1,69,2,3,1,0,0.833,P69,
Tayler Scott,HOU,A,62,1,0,0,68.2,45,21,35,71,2.23,1.7,62,11,5,0,0,1,P62,
Grant Holmes,ATL,N,26,7,0,0,68.1,66,27,15,70,3.56,0.3,26,3,6,0,1,1,P26,
Beau Brieske,DET,A,46,12,0,1,67.2,55,31,30,69,3.59,0.4,46,3,8,0,1,1,P46,
Hayden Wesneski,CHI,N,28,7,0,0,67.2,56,37,21,67,3.86,-0.2,28,8,7,2,1,0.882,P28,
Erik Miller,SF,N,73,10,0,0,67.1,50,33,38,87,3.88,0,73,0,5,1,0,0.833,P73,
Fernando Cruz,CIN,N,69,3,0,0,66.2,54,36,35,109,4.86,-0.4,69,2,7,0,0,1,P69,
Ryan Fernandez,STL,N,62,0,0,2,66.2,58,30,32,71,3.51,0.5,62,5,6,0,0,1,P62,
Jose Leclerc,TEX,A,64,0,0,1,66.2,56,33,32,89,4.32,-0.3,64,2,5,1,1,0.875,P64,
Jesus Luzardo,MIA,N,12,12,0,0,66.2,61,37,22,58,4.99,-0.1,12,3,10,0,0,1,P12,
Trevor Williams,WAS,N,13,13,0,0,66.2,51,17,18,59,2.03,1.5,13,2,5,0,0,1,P13,
Ryan Helsley,STL,N,65,0,0,49,66.1,50,19,23,79,2.04,3,65,6,3,0,2,1,P65,
Jeff Hoffman,PHI,N,68,0,0,10,66.1,48,20,16,89,2.17,1.5,68,9,1,0,0,1,P68,
Ryan Thompson,ARI,N,67,0,0,2,66.1,64,26,15,52,3.26,1.2,67,7,13,1,1,0.952,P67,
Alex Vesia,LA,N,67,0,0,5,66.1,33,19,33,87,1.76,2,67,1,6,1,1,0.875,P67,
Jacob Barnes,WAS,N,63,0,0,0,66,67,36,20,55,4.36,-0.2,63,6,2,1,0,0.889,P63,
Tim Herrin,CLE,A,75,0,0,0,65.2,39,17,25,68,1.92,1.3,75,2,17,1,2,0.95,P75,
Brent Suter,CIN,N,47,3,0,2,65.2,63,25,12,50,3.15,0.4,47,7,10,1,0,0.944,P47,
Jack Kochanowicz,ANA,A,11,11,0,0,65.1,68,30,10,25,3.99,0.1,11,3,7,0,1,1,P11,
Mason Miller,OAK,A,55,0,0,28,65,36,23,21,104,2.49,1.2,55,2,1,0,0,1,P55,
Robert Suarez,SD,N,65,0,0,36,65,52,21,16,59,2.77,2,65,5,2,0,0,1,P65,
Hoby Milner,MIL,N,61,1,0,1,64.2,63,38,14,64,4.73,-0.3,61,11,12,0,0,1,P61,
David Festa,MIN,A,14,13,0,0,64.1,62,36,23,77,4.9,-0.6,14,1,4,0,0,1,P14,
Tyler Kinley,COL,N,67,0,0,12,64,61,44,33,72,6.19,-1.1,67,2,7,1,0,0.9,P67,
Kyle Finnegan,WAS,N,65,0,0,38,63.2,61,31,24,60,3.68,0.5,65,0,5,0,1,1,P65,
Adrian Morejon,SD,N,60,0,0,2,63.2,63,24,21,71,2.83,0.6,60,1,5,0,0,1,P60,
Osvaldo Bido,OAK,A,16,9,0,0,63.1,43,25,26,63,3.41,0.5,16,3,5,1,0,0.889,P16,
Jesse Chavez,ATL,N,46,0,0,0,63.1,60,27,19,55,3.13,0.3,46,2,8,1,0,0.909,P46,
Greg Weissert,BOS,A,62,0,0,1,63.1,65,32,20,58,3.13,0.4,62,4,7,0,1,1,P62,
Clay Holmes,NY,A,67,0,0,30,63,60,29,22,68,3.14,0.9,67,6,4,0,0,1,P67,
Daniel Hudson,LA,N,65,0,0,10,63,46,25,19,63,3,0.9,65,4,3,0,0,1,P65,
Orion Kerkering,PHI,N,64,2,0,0,63,51,20,17,74,2.29,1.3,64,3,1,0,0,1,P64,
Genesis Cabrera,TOR,A,69,0,0,2,62.2,63,31,29,50,3.59,0.1,69,3,3,0,0,1,P69,
Yuki Matsui,SD,N,64,0,0,0,62.2,46,27,27,69,3.73,0.2,64,1,4,1,0,0.833,P64,
Matt Strahm,PHI,N,66,0,0,3,62.2,36,14,11,79,1.87,2,66,1,2,0,0,1,P66,
