Name,Team(s),G,AB,H,2B,3B,HR,BB,SB,AVG,OBP,SLG,BFW,G2,PO,A,E,DP,AVG3,Games,Played
Bryan Hudson,MIL,N,43,0,0,0,62.1,28,12,17,62,1.73,1.8,43,5,5,0,0,1,P43,
Jared Koenig,MIL,N,55,6,0,1,62,54,22,23,63,2.47,1.9,55,0,5,2,0,0.714,P55,
Jose Alvarado,PHI,N,66,0,0,13,61.2,49,30,28,63,4.09,0.1,66,2,2,0,0,1,P66,
Aroldis Chapman,PIT,N,68,0,0,14,61.2,44,31,39,98,3.79,0.5,68,2,7,0,0,1,P68,
Kirby Yates,TEX,A,61,0,0,33,61.2,23,10,28,85,1.17,4,61,4,6,1,0,0.909,P61,
Peter Lambert,COL,N,28,3,0,0,61.1,73,42,29,50,5.72,-0.6,28,5,7,2,2,0.857,P28,
Jeremiah Estrada,SD,N,62,0,0,1,61,42,22,23,94,2.95,1,62,1,2,1,0,0.75,P62,
Austin Voth,SEA,A,68,0,0,0,61,46,31,18,61,3.69,-0.2,68,10,2,1,0,0.923,P68,
Emerson Hancock,SEA,A,12,12,0,0,60.2,62,37,19,39,4.75,-1,12,9,2,2,0,0.846,P12,
Yennier Cano,BAL,A,70,0,0,5,60,54,24,24,65,3.15,0.6,70,6,9,0,1,1,P70,
G. Cleavinger,TB,A,68,0,0,6,60,52,29,31,71,3.75,0.2,68,0,6,0,0,1,P68,
Jason Foley,DET,A,69,0,0,28,60,51,28,20,46,3.15,0.8,69,1,5,0,1,1,P69,
John King,STL,N,56,0,0,0,60,58,23,14,38,2.85,0.8,56,6,12,1,0,0.947,P56,
Taylor Rogers,SF,N,64,0,0,0,60,53,22,22,64,2.4,0.6,64,2,6,1,0,0.889,P64,
Robert Garcia,WAS,N,72,0,0,0,59.2,55,34,16,75,4.22,-0.2,72,0,3,1,1,0.75,P72,
Justin Lawrence,COL,N,56,0,0,2,59.2,73,52,33,45,6.49,-1.6,56,4,11,0,1,1,P56,
Dylan Lee,ATL,N,52,0,0,0,59.2,49,19,17,76,2.11,1.1,52,1,5,0,0,1,P52,
Joe Mantiply,ARI,N,75,2,0,1,59.2,52,27,18,53,3.92,0.3,75,4,7,1,1,0.917,P75,
Anthony Molina,COL,N,35,1,0,0,59.2,72,46,22,41,6.79,-0.6,35,8,4,0,0,1,P35,
Bryce Jarvis,ARI,N,44,0,0,0,59.1,52,25,33,38,3.19,0.2,44,3,5,0,0,1,P44,
Andres Munoz,SEA,A,60,0,0,22,59.1,31,16,26,77,2.12,2.3,60,0,8,1,0,0.889,P60,
Camilo Doval,SF,N,62,0,0,23,59,54,35,39,78,4.88,-1.2,62,7,6,2,2,0.867,P62,
Joel Payamps,MIL,N,68,0,0,6,59,39,23,18,59,3.05,1.1,68,1,3,2,0,0.667,P68,
JoJo Romero,STL,N,65,0,0,1,59,52,23,16,51,3.36,1,65,0,6,0,0,1,P65,
Drew Smyly,CHI,N,50,0,0,0,58.2,57,29,25,56,3.84,-0.1,50,3,3,1,0,0.857,P50,
Jorge Alcala,MIN,A,54,0,0,0,58.1,40,23,20,58,3.24,0.6,54,4,6,0,0,1,P54,
Chris Stratton,KC,A,57,0,0,4,58.1,53,38,33,44,5.55,-0.9,57,2,10,0,1,1,P57,
David Bednar,PIT,N,62,0,0,23,57.2,54,40,28,58,5.77,-1.7,62,4,2,0,0,1,P62,
Nick Sandlin,CLE,A,68,1,0,1,57.2,46,29,27,68,3.75,0.1,68,1,9,0,1,1,P68,
Alex Faedo,DET,A,37,6,0,0,57.1,49,24,28,55,3.61,0.5,37,3,4,1,1,0.875,P37,
Reed Garrett,NY,N,53,0,0,4,57.1,50,28,30,83,3.77,0.2,53,1,7,1,0,0.889,P53,
Max Meyer,MIA,N,11,11,0,0,57,62,38,19,46,5.68,-0.7,11,8,4,1,0,0.923,P11,
Zack Kelly,BOS,A,49,3,0,0,56.2,44,31,27,61,3.97,0.1,49,9,9,0,0,1,P49,
James McArthur,KC,A,57,0,0,18,56.2,68,36,14,49,4.92,-1,57,4,9,1,0,0.929,P57,
T.J. McFarland,OAK,A,79,0,0,0,56.2,53,28,17,39,3.81,0.1,79,9,9,0,1,1,P79,
Ryan Pressly,HOU,A,59,0,0,4,56.2,58,25,18,58,3.49,0.3,59,5,6,0,1,1,P59,
Jacob Webb,BAL,A,60,0,0,2,56.2,40,23,27,58,3.02,0.6,60,2,6,0,0,1,P60,
Alexis Diaz,CIN,N,60,0,0,28,56.1,42,31,31,55,3.99,-0.1,60,4,2,0,1,1,P60,
Pierce Johnson,ATL,N,58,0,0,2,56.1,48,25,25,67,3.67,0.6,58,2,9,0,1,1,P58,
Bobby Miller,LA,N,13,13,0,0,56,69,53,30,52,8.52,-2.4,13,2,2,0,0,1,P13,
Adam Ottavino,NY,N,60,0,0,1,56,49,29,23,70,4.34,-0.1,60,9,2,0,0,1,P60,
Shelby Miller,DET,A,51,0,0,2,55.2,41,31,13,49,4.53,-0.6,51,2,0,0,0,1,P51,
Ben Brown,CHI,N,15,8,0,0,55.1,41,22,19,64,3.58,0.2,15,4,1,0,0,1,P15,
Aaron Bummer,ATL,N,56,0,0,0,55.1,61,24,18,69,3.58,0.4,56,1,10,1,0,0.917,P56,
Justin Slaten,BOS,A,44,0,0,2,55.1,47,21,9,58,2.93,1,44,2,2,0,0,1,P44,
Keaton Winn,SF,N,12,12,0,0,55.1,56,44,20,48,7.16,-2.9,12,7,4,0,0,1,P12,
Scott Barlow,CLE,A,63,0,0,2,55,44,27,31,68,4.25,-0.1,63,4,5,0,0,1,P63,
Kenley Jansen,BOS,A,54,0,0,27,54.2,38,20,20,62,3.29,1.2,54,1,1,0,0,1,P54,
Kyle Nicolas,PIT,N,51,0,0,0,54.2,51,30,31,55,3.95,0,51,2,3,0,1,1,P51,
Evan Phillips,LA,N,61,0,0,18,54.2,48,30,17,63,3.62,-0.1,61,4,4,1,0,0.889,P61,
Jhoan Duran,MIN,A,58,0,0,23,54.1,48,30,15,66,3.64,0,58,8,11,1,0,0.95,P58,
Spencer Turnbull,PHI,N,17,7,0,0,54.1,37,17,20,58,2.65,0.5,17,7,3,0,0,1,P17,
Edwin Diaz,NY,N,54,0,0,20,53.2,36,23,20,84,3.52,0.6,54,1,3,1,0,0.8,P54,
Calvin Faucher,MIA,N,53,0,0,6,53.2,49,25,26,63,3.19,0.6,53,0,6,0,0,1,P53,
Cionel Perez,BAL,A,62,0,0,2,53.2,47,29,28,46,4.53,-0.1,62,4,10,0,0,1,P62,
Angel Zerpa,KC,A,60,0,0,0,53.2,59,24,19,49,3.86,0.2,60,3,8,2,0,0.846,P60,
Justin Anderson,CHI,A,56,0,0,1,53.1,48,29,32,57,4.39,-0.2,56,1,4,0,0,1,P56,
Chad Green,TOR,A,53,0,0,17,53.1,41,20,14,46,3.21,1,53,2,3,0,0,1,P53,
Chad Kuhl,CHI,A,31,1,0,1,53.1,56,33,25,54,5.06,-0.3,31,6,3,0,1,1,P31,
Anthony Bender,MIA,N,59,0,0,1,53,50,25,18,59,4.08,0.4,59,4,2,0,0,1,P59,
Seth Martinez,HOU,A,44,0,0,1,52.2,49,24,18,36,3.59,0.2,44,5,5,0,0,1,P44,
Craig Kimbrel,BAL,A,57,0,0,23,52.1,40,35,31,73,5.33,-1.8,57,3,2,1,0,0.833,P57,
Randy Rodriguez,SF,N,35,1,0,0,52.1,47,29,18,53,4.3,-0.3,35,2,6,0,0,1,P35,
Jose Suarez,ANA,A,22,3,0,1,52.1,57,38,27,56,6.02,-0.6,22,0,3,0,0,1,P22,
John Schreiber,KC,A,59,0,0,2,51.2,48,23,20,46,3.66,0.4,59,6,4,1,0,0.909,P59,
Tyler Ferguson,OAK,A,48,0,0,2,51.1,32,23,24,62,3.68,0.1,48,0,2,0,0,1,P48,
Colin Holderman,PIT,N,55,0,0,0,51.1,42,23,25,56,3.16,0.8,55,5,4,0,0,1,P55,
Elvis Peguero,MIL,N,52,0,0,2,51.1,52,22,27,47,2.98,1,52,1,5,1,1,0.857,P52,
B. Bernardino,BOS,A,57,3,0,0,51,50,25,22,56,4.06,0.2,57,5,6,2,0,0.846,P57,
Michael Grove,LA,N,39,2,0,0,51,46,31,16,54,5.12,-0.9,39,3,4,0,0,1,P39,
Tanner Rainey,WAS,N,50,0,0,0,51,47,28,29,44,4.76,-0.1,50,4,2,0,0,1,P50,
Jose Ruiz,PHI,N,52,0,0,1,51,51,23,17,52,3.71,0.2,52,1,2,0,0,1,P52,
C. Mlodzinski,PIT,N,40,4,0,0,50.2,41,22,19,46,3.38,0.8,40,8,1,0,0,1,P40,
Landen Roupp,SF,N,23,4,0,0,50.1,43,21,26,47,3.58,0.2,23,3,8,0,0,1,P23,
Davis Martin,CHI,A,11,10,0,0,50,50,25,23,47,4.32,-0.1,11,4,8,1,0,0.923,P11,
E. Rodriguez,ARI,N,10,10,0,0,50,56,29,19,47,5.04,-0.6,10,0,4,1,0,0.8,P10,
Anthony Banda,LA,N,48,2,0,2,49.2,44,19,18,50,3.08,0.5,48,1,7,0,0,1,P48,
Bryce Elder,ATL,N,10,10,0,0,49.2,64,37,17,46,6.52,-1.4,10,6,3,0,2,1,P10,
Andrew Nardi,MIA,N,59,0,0,0,49.2,44,29,18,70,5.07,-0.2,59,0,4,0,0,1,P59,
Louie Varland,MIN,A,16,7,0,0,49.2,68,44,16,49,7.61,-2,16,2,4,1,0,0.857,P16,
Kyle Muller,OAK,A,21,0,0,0,49.1,48,25,10,36,4.01,0,21,5,4,1,0,0.9,P21,
Spencer Bivens,SF,N,27,2,0,1,48.2,47,20,11,37,3.14,0.3,27,6,7,0,1,1,P27,
Kyle Leahy,STL,N,33,0,0,1,48.2,40,23,10,33,4.07,0,33,1,3,1,1,0.8,P33,
Matt Moore,ANA,A,51,0,0,1,48.1,39,31,26,41,5.03,-0.9,51,1,6,0,0,1,P51,
Zach Pop,TOR,A,58,0,0,1,48.1,45,36,19,33,5.59,-1.2,58,3,5,1,0,0.889,P58,
Joe Boyle,OAK,A,13,10,0,0,47.2,42,35,40,56,6.42,-2,13,1,2,1,0,0.75,P13,
Christian Scott,NY,N,9,9,0,0,47.1,45,24,12,39,4.56,-0.1,9,3,2,0,0,1,P9,
Caleb Thielbar,MIN,A,59,0,0,3,47.1,50,33,24,53,5.32,-1,59,1,5,1,0,0.857,P59,
Stephen Kolek,SD,N,42,0,0,0,46.2,59,30,12,39,5.21,-0.3,42,1,8,0,0,1,P42,
Blake Treinen,LA,N,50,0,0,1,46.2,33,11,11,56,1.93,2.2,50,2,3,1,0,0.833,P50,
Justin Wilson,CIN,N,60,0,0,2,46.2,55,30,13,51,5.59,-0.8,60,2,4,2,0,0.75,P60,
Trevor Megill,MIL,N,48,0,0,21,46.1,33,16,14,50,2.72,1.1,48,2,3,0,1,1,P48,
Jordan Wicks,CHI,N,11,10,0,0,46,55,31,20,42,5.48,-1,11,0,4,0,1,1,P11,
Brendon Little,TOR,A,49,0,0,1,45.2,41,21,19,36,3.74,0.2,49,6,9,0,2,1,P49,
Shawn Dubin,HOU,A,31,2,0,2,45.1,45,25,26,49,4.17,-0.1,31,5,1,0,0,1,P31,
Peter Fairbanks,TB,A,46,0,0,23,45.1,36,20,17,44,3.57,0.4,46,2,5,0,0,1,P46,
Brant Hurter,DET,A,10,1,0,0,45.1,34,13,6,38,2.58,1.2,10,3,1,0,0,1,P10,
Chris Martin,BOS,A,45,0,0,2,44.1,47,22,3,50,3.45,0.3,45,8,7,1,0,0.938,P45,
Steven Matz,STL,N,12,7,0,0,44.1,49,28,15,33,5.08,-0.2,12,2,7,1,2,0.9,P12,
Drew Thorpe,CHI,A,9,9,0,0,44.1,35,29,21,25,5.48,-0.8,9,10,3,1,0,0.929,P9,
Jhony Brito,SD,N,26,0,0,0,43.2,49,23,10,29,4.12,-0.1,26,2,5,1,0,0.875,P26,
Jake Latz,TEX,A,46,0,0,0,43.2,39,20,27,40,3.71,0.1,46,2,3,0,0,1,P46,
Daniel Lynch,KC,A,16,3,0,1,43.1,29,17,14,39,3.32,0.3,16,3,6,1,1,0.9,P16,
Max Scherzer,TEX,A,9,9,0,0,43.1,40,20,10,40,3.95,0,9,4,5,1,0,0.9,P9,
DL Hall,MIL,N,13,7,0,0,43,48,26,21,44,5.02,-0.3,13,0,3,0,0,1,P13,
Porter Hodge,CHI,N,39,0,0,9,43,19,10,19,52,1.88,1.3,39,5,3,0,0,1,P39,
Cam Booser,BOS,A,43,0,0,1,42.2,41,17,16,43,3.38,0.5,43,3,3,1,0,0.857,P43,
Tommy Kahnle,NY,A,50,0,0,1,42.2,30,16,19,46,2.11,0.3,50,4,2,0,0,1,P50,
Sammy Long,KC,A,43,0,0,1,42.2,34,17,17,44,3.16,0.6,43,1,6,0,1,1,P43,
Adam Oller,MIA,N,8,8,0,0,42.1,43,25,22,36,5.31,-0.3,8,1,2,0,0,1,P8,
Eli Morgan,CLE,A,32,0,0,0,42,30,11,11,34,1.93,0.7,32,4,9,0,0,1,P32,
Collin Snider,SEA,A,42,0,0,0,41.2,36,14,13,47,1.94,1.1,42,5,3,1,0,0.889,P42,
Edwin Uceta,TB,A,30,0,0,5,41.2,26,8,8,57,1.51,0.7,30,2,1,0,0,1,P30,
Jordan Weems,WAS,N,41,0,0,0,41.2,49,35,24,35,6.7,-0.5,41,1,8,1,1,0.9,P41,
Austin Adams,OAK,A,56,0,0,0,41.1,38,20,23,53,3.92,0,56,2,2,0,1,1,P56,
Will Smith,KC,A,45,0,0,1,41.1,45,31,15,29,6.53,-0.9,45,0,7,3,0,0.7,P45,
Jake Bird,COL,N,35,0,0,1,40,43,21,25,31,4.5,0.1,35,0,5,0,0,1,P35,
Luis Medina,OAK,A,8,8,0,0,40,43,24,20,32,5.18,-0.7,8,4,3,1,1,0.875,P8,
Matt Boyd,CLE,A,8,8,0,0,39.2,32,16,13,46,2.72,0.4,8,1,3,1,0,0.8,P8,
Paul Sewald,ARI,N,42,0,0,16,39.2,35,19,10,43,4.31,0,42,3,3,0,0,1,P42,
Kyle Bradish,BAL,A,8,8,0,0,39.1,27,12,15,53,2.75,0.4,8,4,7,0,0,1,P8,
Erik Swanson,TOR,A,45,0,0,0,39.1,36,22,14,37,5.03,-0.4,45,2,2,1,0,0.8,P45,
Alex Wood,OAK,A,9,9,0,0,39.1,51,27,19,33,5.26,-0.6,9,2,7,0,1,1,P9,
Scott Alexander,OAK,A,45,0,0,0,38.2,31,14,15,31,2.56,0.5,45,1,7,0,0,1,P45,
Joey Cantillo,CLE,A,9,8,0,0,38.2,35,22,15,44,4.89,-0.5,9,0,2,0,0,1,P9,
Tayler Saucedo,SEA,A,53,0,0,3,38.2,35,15,18,38,3.49,0.2,53,0,9,1,0,0.9,P53,
Tommy Henry,ARI,N,9,7,0,0,38.1,49,31,18,30,7.04,-1.3,9,3,1,0,0,1,P9,
Rafael Montero,HOU,A,41,0,0,0,38.1,35,21,19,23,4.7,-0.2,41,1,3,1,0,0.8,P41,
Wandy Peralta,SD,N,46,0,0,0,38.1,33,19,13,22,3.99,0,46,2,5,0,0,1,P46,
Jake Cousins,NY,A,37,0,0,1,38,20,14,20,53,2.37,0.5,37,0,6,0,0,1,P37,
Emilio Pagan,CIN,N,38,1,0,1,38,40,20,11,44,4.5,-0.2,38,2,3,0,0,1,P38,
Ian Hamilton,NY,A,35,0,0,1,37.2,37,17,14,41,3.82,0.1,35,5,0,0,1,1,P35,
Zebby Matthews,MIN,A,9,9,0,0,37.2,51,31,11,43,6.69,-1.3,9,4,5,1,0,0.9,P9,
Sam Moll,CIN,N,48,0,0,0,37.2,27,16,14,38,3.35,0.4,48,2,4,0,0,1,P48,
Manuel Rodriguez,TB,A,40,0,0,2,37.2,29,13,11,34,2.15,1.2,40,1,4,0,0,1,P40,
Hunter Stratton,PIT,N,36,0,0,1,37.2,37,17,7,33,3.58,0.2,36,2,2,2,0,0.667,P36,
Danny Young,NY,N,42,0,0,0,37.2,29,22,18,48,4.54,-0.3,42,2,2,2,0,0.667,P42,
Colin Poche,TB,A,43,0,0,2,37.1,30,16,13,33,3.86,0.1,43,0,1,0,0,1,P43,
Braxton Garrett,MIA,N,7,7,1,0,37,40,24,4,34,5.35,-0.3,7,1,3,0,0,1,P7,
Tyler Phillips,PHI,N,8,7,1,0,36.2,45,28,7,28,6.87,-1.1,8,3,4,0,0,1,P8,
Mason Black,SF,N,9,8,0,0,36.1,46,26,15,31,6.44,-1.3,9,2,2,0,0,1,P9,
Justin Wrobleski,LA,N,8,6,0,1,36.1,34,24,16,26,5.7,-0.5,8,0,1,1,0,0.5,P8,
Nick Anderson,KC,A,37,0,0,1,35.2,35,17,15,29,4.04,0.1,37,1,3,0,0,1,P37,
Jack Leiter,TEX,A,9,6,0,0,35.2,44,39,17,31,8.83,-1.4,9,3,3,0,0,1,P9,
Nick Nastrini,CHI,A,9,8,0,0,35.2,32,33,36,26,7.07,-2.1,9,1,2,0,0,1,P9,
Sixto Sanchez,MIA,N,14,7,0,0,35.2,43,29,14,17,6.06,-0.5,14,5,3,0,2,1,P14,
Steven Okert,MIN,A,44,1,0,1,35.1,37,22,16,33,5.09,-0.5,44,1,6,0,0,1,P44,
Dedniel Nunez,NY,N,25,0,0,1,35,24,11,8,48,2.31,0.3,25,0,1,2,0,0.333,P25,
Kody Funderburk,MIN,A,27,0,0,1,34.2,41,26,15,32,6.49,-0.4,27,1,6,1,0,0.875,P27,
Cristian Javier,HOU,A,7,7,0,0,34.2,30,16,19,27,3.89,0,7,1,2,0,0,1,P7,
Ben Joyce,ANA,A,31,1,0,4,34.2,26,8,14,33,2.08,0.6,31,3,1,1,0,0.8,P31,
Steven Wilson,CHI,A,40,0,0,0,34.2,29,29,26,34,5.71,-1.6,40,0,5,0,0,1,P40,
Tanner Gordon,COL,N,8,8,0,0,34.1,53,34,6,26,8.65,-1.8,8,0,4,0,1,1,P8,
A.J. Minter,ATL,N,39,0,0,1,34.1,24,10,11,35,2.62,1.3,39,2,9,0,0,1,P39,
Chris Roycroft,STL,N,27,0,0,0,34.1,31,19,17,33,4.19,0,27,1,7,1,1,0.889,P27,
Michel Otanez,OAK,A,36,0,0,1,34,27,15,20,55,3.44,0,36,0,0,0,0,.-648,P36,
Marco Gonzales,PIT,N,7,7,0,0,33.2,43,17,11,23,4.54,0,7,1,4,0,1,1,P7,
Adam Mazur,SD,N,8,8,0,0,33.2,40,28,21,22,7.49,-1.2,8,1,4,0,1,1,P8,
Jeffrey Springs,TB,A,7,7,0,0,33,34,12,11,37,3.27,0.3,7,2,0,0,0,1,P7,
Ryan Burr,TOR,A,34,4,0,0,32.2,29,16,12,47,4.13,0,34,2,1,1,0,0.75,P34,
Scott McGough,ARI,N,26,2,0,0,32.2,34,30,21,25,7.44,-1.3,26,1,3,0,1,1,P26,
Jake Diekman,NY,N,43,0,0,4,32,23,24,24,40,5.62,-1.1,43,4,3,2,0,0.778,P43,
Jose Ferrer,WAS,N,31,0,0,1,32,27,12,6,25,3.38,0.2,31,0,4,0,0,1,P31,
Joe Kelly,LA,N,35,0,0,0,32,31,19,16,35,4.78,-0.2,35,2,5,0,0,1,P35,
Julian Aguiar,CIN,N,7,7,0,0,31.2,30,22,12,19,6.25,-0.5,7,2,4,0,0,1,P7,
Angel Chivilli,COL,N,30,0,0,1,31.2,31,17,10,28,4.55,0.1,30,4,5,0,1,1,P30,
Kyle Tyler,MIA,N,8,7,0,0,31.2,37,19,18,25,5.4,-0.1,8,1,4,0,0,1,P8,
Josh Fleming,PIT,N,25,3,0,1,31.1,34,18,14,17,4.02,0.1,25,3,10,0,3,1,P25,
Michael Kelly,OAK,A,28,0,0,0,31.1,27,11,10,22,2.59,0.6,28,1,1,0,0,1,P28,
Jordan Leasure,CHI,A,33,0,0,2,31.1,32,22,18,26,6.32,-0.5,33,2,2,0,0,1,P33,
Rhett Lowder,CIN,N,6,6,0,0,30.2,25,4,14,22,1.17,1.3,6,1,1,1,0,0.667,P6,
Robbie Ray,SF,N,7,7,0,0,30.2,20,16,15,43,4.7,-0.3,7,0,2,0,0,1,P7,
Kris Bubic,KC,A,27,0,0,1,30.1,26,12,5,39,2.67,0.3,27,1,3,1,0,0.8,P27,
Davis Daniel,ANA,A,6,6,0,0,30.1,39,22,6,28,6.23,-1,6,3,0,1,0,0.75,P6,
Keegan Thompson,CHI,N,24,0,0,2,30.1,19,12,18,36,2.67,0.3,24,1,1,2,0,0.5,P24,
Yonny Chirinos,MIA,N,6,6,0,0,30,43,21,13,25,6.3,-0.3,6,4,2,0,0,1,P6,
Carlos Hernandez,KC,A,27,0,0,0,30,24,14,16,27,3.3,0.1,27,1,1,0,0,1,P27,
Clayton Kershaw,LA,N,7,7,0,0,30,36,19,9,24,4.5,-0.4,7,1,2,1,0,0.75,P7,
Tony Santillan,CIN,N,29,1,0,0,30,21,11,9,46,3,0.7,29,2,1,2,0,0.6,P29,
Daniel Coulombe,BAL,A,33,0,0,1,29.2,15,7,5,32,2.12,0.3,33,0,3,0,0,1,P33,
Brenan Hanifee,DET,A,21,3,0,0,29.1,27,7,6,23,1.84,0.5,21,3,5,1,0,0.889,P21,
George Soriano,MIA,N,22,0,0,1,29.1,27,23,13,29,6.75,-0.4,22,3,3,0,0,1,P22,
Drew Rasmussen,TB,A,16,4,0,1,28.2,25,10,6,35,2.83,0.3,16,2,2,1,1,0.8,P16,
Aaron Ashby,MIL,N,14,2,0,0,28.1,20,13,10,33,2.86,0.2,14,1,0,0,0,1,P14,
Yilber Diaz,ARI,N,7,4,0,0,28.1,27,13,12,19,3.81,0,7,0,1,1,0,0.5,P7,
Logan Allen,ARI,N,12,0,0,1,28,32,17,10,21,5.46,-0.2,12,2,4,0,0,1,P12,
Ryan Brasier,LA,N,29,4,0,0,28,22,12,5,25,3.54,0.1,29,4,4,0,0,1,P29,
Robert Gasser,MIL,N,5,5,0,0,28,28,9,1,16,2.57,0.3,5,3,2,1,0,0.833,P5,
Eduard Bazardo,SEA,A,23,0,0,0,27.2,20,15,9,33,4.88,-0.2,23,1,1,0,0,1,P23,
Matt Manning,DET,A,5,5,0,0,27.2,31,15,12,23,4.88,-0.1,5,1,2,0,1,1,P5,
Bryan Sammons,DET,A,6,0,0,0,27.1,16,11,9,18,3.62,0.1,6,0,1,0,0,1,P6,
Kolby Allard,PHI,N,7,4,0,0,27,34,15,8,23,5,-0.1,7,2,3,0,0,1,P7,
Grant Anderson,TEX,A,23,0,0,1,26.2,33,24,10,29,8.1,-0.6,23,0,2,0,0,1,P23,
Aaron Brooks,OAK,A,5,4,0,0,26.2,33,19,8,12,5.06,-0.3,5,4,2,0,0,1,P5,
Chris Devenski,TB,A,19,0,0,0,26.2,28,25,14,24,6.75,-1,19,2,1,0,0,1,P19,
Ethan Roberts,CHI,N,21,0,0,0,26.2,31,11,10,26,3.71,0.1,21,1,2,0,0,1,P21,
Gerson Garabito,TEX,A,18,2,0,0,26.1,23,15,12,22,4.78,-0.2,18,2,1,0,0,1,P18,
Jay Jackson,MIN,A,20,0,0,0,26.1,28,24,9,29,7.52,-1,20,2,2,0,0,1,P20,
Bryan King,HOU,A,28,0,0,0,26.1,20,7,10,32,2.39,0.3,28,3,2,0,0,1,P28,
Luke Little,CHI,N,30,1,0,0,26,15,11,18,28,3.46,0.2,30,1,7,0,1,1,P30,
Yunior Marte,PHI,N,23,0,0,0,26,34,22,15,23,6.92,-0.4,23,4,2,0,0,1,P23,
Dany Jimenez,OAK,A,25,0,0,1,25.2,21,18,19,25,4.91,-0.6,25,0,1,1,0,0.5,P25,
Hans Crouse,ANA,A,25,0,0,0,25.1,14,10,17,34,2.84,0.6,25,0,2,1,0,0.667,P25,
